# Shock hugoniot for sesame material number 7361
#   fused quartz (z=10.0, a=20.028) -   2.204 - 301                                                   
# Polar curve for this state :
#   rho(g/cm3) =  2.20399400E+00
#   P(Mbar)    =  1.55551218E-05
#   T(eV)      =  2.58509263E-02
#   E(KJ/g)    =  1.51158805E-03

#R(g/cm3) P-P0(Mbar) E(KJ/g) T(eV) Us(km/s) Up(km/s) 
+5.97475841E+00 +4.52491163E+00 +6.47873714E+01 +2.22963889E+00 +1.80361806E+01 +1.13829185E+01
+5.97788724E+00 +4.54493115E+00 +6.50939091E+01 +2.24570321E+00 +1.80732710E+01 +1.14098163E+01
+5.98100495E+00 +4.56495067E+00 +6.54005303E+01 +2.26175151E+00 +1.81102756E+01 +1.14366582E+01
+5.98411160E+00 +4.58497018E+00 +6.57072345E+01 +2.27778405E+00 +1.81471949E+01 +1.14634444E+01
+5.98720727E+00 +4.60498970E+00 +6.60140212E+01 +2.29380102E+00 +1.81840296E+01 +1.14901754E+01
+5.99029204E+00 +4.62500922E+00 +6.63208899E+01 +2.30980258E+00 +1.82207801E+01 +1.15168515E+01
+5.99336598E+00 +4.64502874E+00 +6.66278403E+01 +2.32578886E+00 +1.82574471E+01 +1.15434730E+01
+5.99642918E+00 +4.66504826E+00 +6.69348719E+01 +2.34175994E+00 +1.82940311E+01 +1.15700403E+01
+5.99948175E+00 +4.68506778E+00 +6.72419846E+01 +2.35771587E+00 +1.83305327E+01 +1.15965537E+01
+6.00252379E+00 +4.70508730E+00 +6.75491780E+01 +2.37365665E+00 +1.83669523E+01 +1.16230136E+01
+6.00555540E+00 +4.72510681E+00 +6.78564521E+01 +2.38958223E+00 +1.84032905E+01 +1.16494202E+01
+6.00857671E+00 +4.74512633E+00 +6.81638067E+01 +2.40549254E+00 +1.84395477E+01 +1.16757741E+01
+6.01158786E+00 +4.76514585E+00 +6.84712419E+01 +2.42138744E+00 +1.84757245E+01 +1.17020755E+01
+6.01458898E+00 +4.78516537E+00 +6.87787577E+01 +2.43726674E+00 +1.85118212E+01 +1.17283248E+01
+6.01758024E+00 +4.80518489E+00 +6.90863543E+01 +2.45313023E+00 +1.85478384E+01 +1.17545223E+01
+6.02056182E+00 +4.82520441E+00 +6.93940321E+01 +2.46897761E+00 +1.85837764E+01 +1.17806685E+01
+6.02353389E+00 +4.84522393E+00 +6.97017915E+01 +2.48480856E+00 +1.86196357E+01 +1.18067637E+01
+6.02649667E+00 +4.86524344E+00 +7.00096330E+01 +2.50062268E+00 +1.86554166E+01 +1.18328083E+01
+6.02945039E+00 +4.88526296E+00 +7.03175574E+01 +2.51641952E+00 +1.86911194E+01 +1.18588027E+01
+6.03239530E+00 +4.90528248E+00 +7.06255657E+01 +2.53219859E+00 +1.87267446E+01 +1.18847472E+01
+6.03533166E+00 +4.92530200E+00 +7.09336589E+01 +2.54795931E+00 +1.87622924E+01 +1.19106424E+01
+6.03825980E+00 +4.94532152E+00 +7.12418383E+01 +2.56370104E+00 +1.87977630E+01 +1.19364887E+01
+6.04118004E+00 +4.96534104E+00 +7.15501055E+01 +2.57942310E+00 +1.88331566E+01 +1.19622864E+01
+6.04409277E+00 +4.98536056E+00 +7.18584624E+01 +2.59512472E+00 +1.88684736E+01 +1.19880361E+01
+6.04699838E+00 +5.00538008E+00 +7.21669112E+01 +2.61080504E+00 +1.89037140E+01 +1.20137382E+01
+6.04989735E+00 +5.02539960E+00 +7.24754543E+01 +2.62646316E+00 +1.89388779E+01 +1.20393934E+01
+6.05279019E+00 +5.04541912E+00 +7.27840946E+01 +2.64209807E+00 +1.89739654E+01 +1.20650020E+01
+6.05567747E+00 +5.06543864E+00 +7.30928356E+01 +2.65770871E+00 +1.90089764E+01 +1.20905647E+01
+6.05855983E+00 +5.08545816E+00 +7.34016812E+01 +2.67329390E+00 +1.90439109E+01 +1.21160821E+01
+6.06143800E+00 +5.10547768E+00 +7.37106358E+01 +2.68885239E+00 +1.90787687E+01 +1.21415549E+01
+6.06431278E+00 +5.12549720E+00 +7.40197046E+01 +2.70438283E+00 +1.91135496E+01 +1.21669837E+01
+6.06718510E+00 +5.14551672E+00 +7.43288937E+01 +2.71988377E+00 +1.91482533E+01 +1.21923693E+01
+6.07005597E+00 +5.16553624E+00 +7.46382100E+01 +2.73535366E+00 +1.91828791E+01 +1.22177126E+01
+6.07292653E+00 +5.18555575E+00 +7.49476630E+01 +2.75079094E+00 +1.92174267E+01 +1.22430145E+01
+6.07579828E+00 +5.20557528E+00 +7.52572570E+01 +2.76619350E+00 +1.92518952E+01 +1.22682760E+01
+6.07867258E+00 +5.22559481E+00 +7.55670077E+01 +2.78155978E+00 +1.92862837E+01 +1.22934982E+01
+6.08155124E+00 +5.24561433E+00 +7.58769259E+01 +2.79688763E+00 +1.93205910E+01 +1.23186823E+01
+6.08443245E+00 +5.26563385E+00 +7.61869986E+01 +2.81217579E+00 +1.93548193E+01 +1.23438275E+01
+6.08731051E+00 +5.28565337E+00 +7.64971853E+01 +2.82742561E+00 +1.93889741E+01 +1.23689309E+01
+6.09018559E+00 +5.30567289E+00 +7.68074891E+01 +2.84263807E+00 +1.94230557E+01 +1.23939927E+01
+6.09305834E+00 +5.32569241E+00 +7.71179096E+01 +2.85781386E+00 +1.94570639E+01 +1.24190135E+01
+6.09592859E+00 +5.34571193E+00 +7.74284477E+01 +2.87295406E+00 +1.94909994E+01 +1.24439934E+01
+6.09879626E+00 +5.36573145E+00 +7.77391022E+01 +2.88805954E+00 +1.95248627E+01 +1.24689326E+01
+6.10166126E+00 +5.38575097E+00 +7.80498724E+01 +2.90313115E+00 +1.95586542E+01 +1.24938313E+01
+6.10452352E+00 +5.40577049E+00 +7.83607573E+01 +2.91816972E+00 +1.95923745E+01 +1.25186896E+01
+6.10738296E+00 +5.42579001E+00 +7.86717560E+01 +2.93317604E+00 +1.96260240E+01 +1.25435078E+01
+6.11023950E+00 +5.44580953E+00 +7.89828676E+01 +2.94815090E+00 +1.96596033E+01 +1.25682859E+01
+6.11309308E+00 +5.46582905E+00 +7.92940911E+01 +2.96309504E+00 +1.96931127E+01 +1.25930241E+01
+6.11594362E+00 +5.48584857E+00 +7.96054258E+01 +2.97800920E+00 +1.97265527E+01 +1.26177227E+01
+6.11879106E+00 +5.50586809E+00 +7.99168708E+01 +2.99289408E+00 +1.97599239E+01 +1.26423817E+01
+6.12163539E+00 +5.52588761E+00 +8.02284235E+01 +3.00775025E+00 +1.97932267E+01 +1.26670014E+01
+6.12447645E+00 +5.54590713E+00 +8.05400866E+01 +3.02257861E+00 +1.98264615E+01 +1.26915819E+01
+6.12731422E+00 +5.56592665E+00 +8.08518574E+01 +3.03737968E+00 +1.98596288E+01 +1.27161233E+01
+6.13014866E+00 +5.58594617E+00 +8.11637353E+01 +3.05215410E+00 +1.98927290E+01 +1.27406259E+01
+6.13297970E+00 +5.60596569E+00 +8.14757195E+01 +3.06690248E+00 +1.99257626E+01 +1.27650897E+01
+6.13580730E+00 +5.62598521E+00 +8.17878091E+01 +3.08162539E+00 +1.99587299E+01 +1.27895150E+01
+6.13863141E+00 +5.64600473E+00 +8.21000034E+01 +3.09632343E+00 +1.99916314E+01 +1.28139019E+01
+6.14145198E+00 +5.66602425E+00 +8.24123017E+01 +3.11099714E+00 +2.00244676E+01 +1.28382506E+01
+6.14426896E+00 +5.68604377E+00 +8.27247033E+01 +3.12564706E+00 +2.00572388E+01 +1.28625613E+01
+6.14708231E+00 +5.70606329E+00 +8.30372074E+01 +3.14027373E+00 +2.00899455E+01 +1.28868340E+01
+6.14989199E+00 +5.72608281E+00 +8.33498133E+01 +3.15487765E+00 +2.01225880E+01 +1.29110690E+01
+6.15269797E+00 +5.74610232E+00 +8.36625203E+01 +3.16945932E+00 +2.01551668E+01 +1.29352664E+01
+6.15550019E+00 +5.76612184E+00 +8.39753278E+01 +3.18401923E+00 +2.01876822E+01 +1.29594263E+01
+6.15829863E+00 +5.78614136E+00 +8.42882351E+01 +3.19855783E+00 +2.02201346E+01 +1.29835490E+01
+6.16109326E+00 +5.80616088E+00 +8.46012414E+01 +3.21307559E+00 +2.02525245E+01 +1.30076346E+01
+6.16388403E+00 +5.82618040E+00 +8.49143463E+01 +3.22757295E+00 +2.02848522E+01 +1.30316832E+01
+6.16667092E+00 +5.84619992E+00 +8.52275490E+01 +3.24205033E+00 +2.03171180E+01 +1.30556950E+01
+6.16945391E+00 +5.86621944E+00 +8.55408490E+01 +3.25650817E+00 +2.03493224E+01 +1.30796702E+01
+6.17223295E+00 +5.88623896E+00 +8.58542455E+01 +3.27094687E+00 +2.03814657E+01 +1.31036088E+01
+6.17500803E+00 +5.90625848E+00 +8.61677380E+01 +3.28536682E+00 +2.04135483E+01 +1.31275112E+01
+6.17777912E+00 +5.92627800E+00 +8.64813260E+01 +3.29976841E+00 +2.04455706E+01 +1.31513773E+01
+6.18054620E+00 +5.94629752E+00 +8.67950088E+01 +3.31415202E+00 +2.04775328E+01 +1.31752074E+01
+6.18330924E+00 +5.96631703E+00 +8.71087858E+01 +3.32851802E+00 +2.05094354E+01 +1.31990016E+01
+6.18606823E+00 +5.98633655E+00 +8.74226565E+01 +3.34286675E+00 +2.05412786E+01 +1.32227601E+01
+6.18882315E+00 +6.00635607E+00 +8.77366204E+01 +3.35719856E+00 +2.05730629E+01 +1.32464830E+01
+6.19157397E+00 +6.02637559E+00 +8.80506768E+01 +3.37151380E+00 +2.06047886E+01 +1.32701705E+01
+6.19432069E+00 +6.04639511E+00 +8.83648254E+01 +3.38581279E+00 +2.06364560E+01 +1.32938227E+01
+6.19706328E+00 +6.06641463E+00 +8.86790654E+01 +3.40009585E+00 +2.06680654E+01 +1.33174398E+01
+6.19980173E+00 +6.08643415E+00 +8.89933965E+01 +3.41436329E+00 +2.06996172E+01 +1.33410219E+01
+6.20253602E+00 +6.10645367E+00 +8.93078181E+01 +3.42861542E+00 +2.07311117E+01 +1.33645691E+01
+6.20526616E+00 +6.12647318E+00 +8.96223297E+01 +3.44285253E+00 +2.07625492E+01 +1.33880816E+01
+6.20799211E+00 +6.14649270E+00 +8.99369309E+01 +3.45707492E+00 +2.07939300E+01 +1.34115597E+01
+6.21071388E+00 +6.16651222E+00 +9.02516211E+01 +3.47128286E+00 +2.08252545E+01 +1.34350033E+01
+6.21343146E+00 +6.18653174E+00 +9.05663999E+01 +3.48547663E+00 +2.08565229E+01 +1.34584126E+01
+6.21614483E+00 +6.20655126E+00 +9.08812668E+01 +3.49965649E+00 +2.08877356E+01 +1.34817878E+01
+6.21885399E+00 +6.22657078E+00 +9.11962213E+01 +3.51382270E+00 +2.09188929E+01 +1.35051291E+01
+6.22155894E+00 +6.24659030E+00 +9.15112631E+01 +3.52797553E+00 +2.09499950E+01 +1.35284366E+01
+6.22425966E+00 +6.26660981E+00 +9.18263916E+01 +3.54211521E+00 +2.09810423E+01 +1.35517103E+01
+6.22695615E+00 +6.28662933E+00 +9.21416065E+01 +3.55624199E+00 +2.10120350E+01 +1.35749505E+01
+6.22964841E+00 +6.30664885E+00 +9.24569073E+01 +3.57035611E+00 +2.10429735E+01 +1.35981573E+01
+6.23233644E+00 +6.32666837E+00 +9.27722936E+01 +3.58445779E+00 +2.10738581E+01 +1.36213309E+01
+6.23502023E+00 +6.34668789E+00 +9.30877649E+01 +3.59854726E+00 +2.11046890E+01 +1.36444713E+01
+6.23769979E+00 +6.36670741E+00 +9.34033209E+01 +3.61262473E+00 +2.11354664E+01 +1.36675788E+01
+6.24037515E+00 +6.38672693E+00 +9.37189595E+01 +3.62669034E+00 +2.11661908E+01 +1.36906534E+01
+6.24304622E+00 +6.40674644E+00 +9.40346841E+01 +3.64074449E+00 +2.11968623E+01 +1.37136953E+01
+6.24571305E+00 +6.42676596E+00 +9.43504917E+01 +3.65478726E+00 +2.12274812E+01 +1.37367046E+01
+6.24837569E+00 +6.44678548E+00 +9.46663829E+01 +3.66881886E+00 +2.12580479E+01 +1.37596815E+01
+6.25103792E+00 +6.46680500E+00 +9.49823884E+01 +3.68283040E+00 +2.12885589E+01 +1.37826284E+01
+6.25369932E+00 +6.48682452E+00 +9.52985047E+01 +3.69681398E+00 +2.13190151E+01 +1.38055452E+01
+6.25635975E+00 +6.50684404E+00 +9.56147303E+01 +3.71077008E+00 +2.13494167E+01 +1.38284320E+01
+6.25901905E+00 +6.52686356E+00 +9.59310639E+01 +3.72469916E+00 +2.13797642E+01 +1.38512886E+01
+6.26167708E+00 +6.54688308E+00 +9.62475039E+01 +3.73860166E+00 +2.14100580E+01 +1.38741154E+01
+6.26433371E+00 +6.56690260E+00 +9.65640490E+01 +3.75247803E+00 +2.14402984E+01 +1.38969121E+01
+6.26698879E+00 +6.58692212E+00 +9.68806978E+01 +3.76632871E+00 +2.14704859E+01 +1.39196790E+01
+6.26964221E+00 +6.60694163E+00 +9.71974491E+01 +3.78015410E+00 +2.15006208E+01 +1.39424161E+01
+6.27229383E+00 +6.62696115E+00 +9.75143016E+01 +3.79395462E+00 +2.15307035E+01 +1.39651234E+01
+6.27494354E+00 +6.64698067E+00 +9.78312540E+01 +3.80773069E+00 +2.15607343E+01 +1.39878010E+01
+6.27759123E+00 +6.66700019E+00 +9.81483051E+01 +3.82148269E+00 +2.15907136E+01 +1.40104489E+01
+6.28023677E+00 +6.68701971E+00 +9.84654536E+01 +3.83521102E+00 +2.16206417E+01 +1.40330672E+01
+6.28288007E+00 +6.70703923E+00 +9.87826985E+01 +3.84891604E+00 +2.16505191E+01 +1.40556560E+01
+6.28552102E+00 +6.72705875E+00 +9.91000385E+01 +3.86259815E+00 +2.16803459E+01 +1.40782152E+01
+6.28815952E+00 +6.74707826E+00 +9.94174725E+01 +3.87625769E+00 +2.17101227E+01 +1.41007451E+01
+6.29079547E+00 +6.76709778E+00 +9.97349995E+01 +3.88989502E+00 +2.17398496E+01 +1.41232456E+01
+6.29342879E+00 +6.78711730E+00 +1.00052618E+02 +3.90351050E+00 +2.17695270E+01 +1.41457168E+01
+6.29605937E+00 +6.80713682E+00 +1.00370328E+02 +3.91710449E+00 +2.17991553E+01 +1.41681587E+01
+6.29868714E+00 +6.82715634E+00 +1.00688128E+02 +3.93067727E+00 +2.18287347E+01 +1.41905715E+01
+6.30131201E+00 +6.84717585E+00 +1.01006016E+02 +3.94422921E+00 +2.18582656E+01 +1.42129552E+01
+6.30393390E+00 +6.86719537E+00 +1.01323991E+02 +3.95776062E+00 +2.18877483E+01 +1.42353099E+01
+6.30655274E+00 +6.88721489E+00 +1.01642054E+02 +3.97127181E+00 +2.19171830E+01 +1.42576356E+01
+6.30916844E+00 +6.90723441E+00 +1.01960202E+02 +3.98476310E+00 +2.19465701E+01 +1.42799324E+01
+6.31178094E+00 +6.92725393E+00 +1.02278436E+02 +3.99823479E+00 +2.19759099E+01 +1.43022004E+01
+6.31439016E+00 +6.94727344E+00 +1.02596753E+02 +4.01168718E+00 +2.20052026E+01 +1.43244396E+01
+6.31699604E+00 +6.96729296E+00 +1.02915153E+02 +4.02512055E+00 +2.20344486E+01 +1.43466501E+01
+6.31959852E+00 +6.98731248E+00 +1.03233636E+02 +4.03853519E+00 +2.20636481E+01 +1.43688321E+01
+6.32219752E+00 +7.00733200E+00 +1.03552199E+02 +4.05193139E+00 +2.20928014E+01 +1.43909854E+01
+6.32479299E+00 +7.02735151E+00 +1.03870844E+02 +4.06530941E+00 +2.21219088E+01 +1.44131104E+01
+6.32738487E+00 +7.04737103E+00 +1.04189567E+02 +4.07866953E+00 +2.21509705E+01 +1.44352069E+01
+6.32997311E+00 +7.06739055E+00 +1.04508370E+02 +4.09201201E+00 +2.21799868E+01 +1.44572751E+01
+6.33255765E+00 +7.08741007E+00 +1.04827250E+02 +4.10533710E+00 +2.22089581E+01 +1.44793150E+01
+6.33513843E+00 +7.10742959E+00 +1.05146208E+02 +4.11864507E+00 +2.22378844E+01 +1.45013268E+01
+6.33771541E+00 +7.12744910E+00 +1.05465242E+02 +4.13193616E+00 +2.22667662E+01 +1.45233104E+01
+6.34028854E+00 +7.14746862E+00 +1.05784351E+02 +4.14521062E+00 +2.22956036E+01 +1.45452660E+01
+6.34285777E+00 +7.16748814E+00 +1.06103536E+02 +4.15846868E+00 +2.23243970E+01 +1.45671937E+01
+6.34542305E+00 +7.18750765E+00 +1.06422794E+02 +4.17171058E+00 +2.23531465E+01 +1.45890935E+01
+6.34798434E+00 +7.20752717E+00 +1.06742126E+02 +4.18493656E+00 +2.23818524E+01 +1.46109655E+01
+6.35054160E+00 +7.22754669E+00 +1.07061530E+02 +4.19814683E+00 +2.24105150E+01 +1.46328098E+01
+6.35309479E+00 +7.24756621E+00 +1.07381007E+02 +4.21134163E+00 +2.24391345E+01 +1.46546264E+01
+6.35564387E+00 +7.26758572E+00 +1.07700554E+02 +4.22452116E+00 +2.24677110E+01 +1.46764154E+01
+6.35818880E+00 +7.28760524E+00 +1.08020173E+02 +4.23768565E+00 +2.24962450E+01 +1.46981769E+01
+6.36072953E+00 +7.30762476E+00 +1.08339861E+02 +4.25083531E+00 +2.25247366E+01 +1.47199110E+01
+6.36326605E+00 +7.32764428E+00 +1.08659618E+02 +4.26397033E+00 +2.25531860E+01 +1.47416178E+01
+6.36579830E+00 +7.34766379E+00 +1.08979444E+02 +4.27709093E+00 +2.25815934E+01 +1.47632973E+01
+6.36832797E+00 +7.36768331E+00 +1.09299352E+02 +4.29019609E+00 +2.26099576E+01 +1.47849506E+01
+6.37085645E+00 +7.38770283E+00 +1.09619357E+02 +4.30328359E+00 +2.26382773E+01 +1.48065787E+01
+6.37338320E+00 +7.40772235E+00 +1.09939453E+02 +4.31635408E+00 +2.26665533E+01 +1.48281814E+01
+6.37590793E+00 +7.42774186E+00 +1.10259636E+02 +4.32940824E+00 +2.26947859E+01 +1.48497586E+01
+6.37843041E+00 +7.44776138E+00 +1.10579905E+02 +4.34244670E+00 +2.27229758E+01 +1.48713102E+01
+6.38095041E+00 +7.46778090E+00 +1.10900257E+02 +4.35547000E+00 +2.27511231E+01 +1.48928362E+01
+6.38346775E+00 +7.48780042E+00 +1.11220690E+02 +4.36847866E+00 +2.27792284E+01 +1.49143366E+01
+6.38598226E+00 +7.50781993E+00 +1.11541202E+02 +4.38147313E+00 +2.28072918E+01 +1.49358114E+01
+6.38849380E+00 +7.52783945E+00 +1.11861793E+02 +4.39445384E+00 +2.28353138E+01 +1.49572605E+01
+6.39100223E+00 +7.54785897E+00 +1.12182459E+02 +4.40742117E+00 +2.28632947E+01 +1.49786840E+01
+6.39350743E+00 +7.56787848E+00 +1.12503201E+02 +4.42037549E+00 +2.28912347E+01 +1.50000819E+01
+6.39600931E+00 +7.58789800E+00 +1.12824016E+02 +4.43331714E+00 +2.29191342E+01 +1.50214543E+01
+6.39850776E+00 +7.60791752E+00 +1.13144903E+02 +4.44624643E+00 +2.29469933E+01 +1.50428010E+01
+6.40100274E+00 +7.62793704E+00 +1.13465860E+02 +4.45916355E+00 +2.29748123E+01 +1.50641223E+01
+6.40349409E+00 +7.64795655E+00 +1.13786889E+02 +4.47206899E+00 +2.30025916E+01 +1.50854181E+01
+6.40598177E+00 +7.66797607E+00 +1.14107988E+02 +4.48496289E+00 +2.30303314E+01 +1.51066885E+01
+6.40846573E+00 +7.68799559E+00 +1.14429155E+02 +4.49784552E+00 +2.30580318E+01 +1.51279334E+01
+6.41094591E+00 +7.70801510E+00 +1.14750390E+02 +4.51071710E+00 +2.30856932E+01 +1.51491531E+01
+6.41342225E+00 +7.72803462E+00 +1.15071691E+02 +4.52357787E+00 +2.31133156E+01 +1.51703474E+01
+6.41589471E+00 +7.74805414E+00 +1.15393058E+02 +4.53642802E+00 +2.31408994E+01 +1.51915166E+01
+6.41836324E+00 +7.76807365E+00 +1.15714491E+02 +4.54926776E+00 +2.31684448E+01 +1.52126605E+01
+6.42082781E+00 +7.78809317E+00 +1.16035988E+02 +4.56209730E+00 +2.31959520E+01 +1.52337794E+01
+6.42328837E+00 +7.80811269E+00 +1.16357549E+02 +4.57491680E+00 +2.32234211E+01 +1.52548732E+01
+6.42574490E+00 +7.82813221E+00 +1.16679174E+02 +4.58772647E+00 +2.32508523E+01 +1.52759421E+01
+6.42819736E+00 +7.84815172E+00 +1.17000861E+02 +4.60052645E+00 +2.32782460E+01 +1.52969860E+01
+6.43064572E+00 +7.86817124E+00 +1.17322610E+02 +4.61331693E+00 +2.33056022E+01 +1.53180050E+01
+6.43308997E+00 +7.88819076E+00 +1.17644421E+02 +4.62609806E+00 +2.33329211E+01 +1.53389993E+01
+6.43553007E+00 +7.90821027E+00 +1.17966293E+02 +4.63887000E+00 +2.33602029E+01 +1.53599688E+01
+6.43796600E+00 +7.92822979E+00 +1.18288225E+02 +4.65163289E+00 +2.33874479E+01 +1.53809137E+01
+6.44039783E+00 +7.94825004E+00 +1.18610229E+02 +4.66438735E+00 +2.34146571E+01 +1.54018348E+01
+6.44282537E+00 +7.96826952E+00 +1.18932280E+02 +4.67713256E+00 +2.34418288E+01 +1.54227305E+01
+6.44524868E+00 +7.98828900E+00 +1.19254390E+02 +4.68986914E+00 +2.34689641E+01 +1.54436018E+01
+6.44766776E+00 +8.00830848E+00 +1.19576558E+02 +4.70259724E+00 +2.34960632E+01 +1.54644486E+01
+6.45008258E+00 +8.02832796E+00 +1.19898785E+02 +4.71531699E+00 +2.35231263E+01 +1.54852712E+01
+6.45249407E+00 +8.04834745E+00 +1.20221078E+02 +4.72802484E+00 +2.35501527E+01 +1.55060701E+01
+6.45490406E+00 +8.06836693E+00 +1.20543455E+02 +4.74070531E+00 +2.35771407E+01 +1.55268465E+01
+6.45731236E+00 +8.08838641E+00 +1.20865914E+02 +4.75335728E+00 +2.36040908E+01 +1.55476005E+01
+6.45971890E+00 +8.10840589E+00 +1.21188454E+02 +4.76598150E+00 +2.36310031E+01 +1.55683320E+01
+6.46212363E+00 +8.12842538E+00 +1.21511074E+02 +4.77857871E+00 +2.36578778E+01 +1.55890410E+01
+6.46452648E+00 +8.14844486E+00 +1.21833774E+02 +4.79114961E+00 +2.36847152E+01 +1.56097277E+01
+6.46692739E+00 +8.16846434E+00 +1.22156552E+02 +4.80369488E+00 +2.37115154E+01 +1.56303921E+01
+6.46932631E+00 +8.18848382E+00 +1.22479409E+02 +4.81621518E+00 +2.37382787E+01 +1.56510341E+01
+6.47172318E+00 +8.20850330E+00 +1.22802343E+02 +4.82871115E+00 +2.37650052E+01 +1.56716539E+01
+6.47411794E+00 +8.22852278E+00 +1.23125353E+02 +4.84118341E+00 +2.37916952E+01 +1.56922515E+01
+6.47651055E+00 +8.24854226E+00 +1.23448439E+02 +4.85363255E+00 +2.38183488E+01 +1.57128269E+01
+6.47890095E+00 +8.26856174E+00 +1.23771601E+02 +4.86605915E+00 +2.38449662E+01 +1.57333802E+01
+6.48128909E+00 +8.28858122E+00 +1.24094837E+02 +4.87846380E+00 +2.38715477E+01 +1.57539114E+01
+6.48367493E+00 +8.30860070E+00 +1.24418146E+02 +4.89084700E+00 +2.38980934E+01 +1.57744205E+01
+6.48605850E+00 +8.32862090E+00 +1.24741540E+02 +4.90320975E+00 +2.39246044E+01 +1.57949083E+01
+6.48843953E+00 +8.34863986E+00 +1.25064986E+02 +4.91555134E+00 +2.39510784E+01 +1.58153729E+01
+6.49081817E+00 +8.36865928E+00 +1.25388511E+02 +4.92787333E+00 +2.39775178E+01 +1.58358161E+01
+6.49319439E+00 +8.38867880E+00 +1.25712107E+02 +4.94017587E+00 +2.40039222E+01 +1.58562375E+01
+6.49556803E+00 +8.40869832E+00 +1.26035775E+02 +4.95245957E+00 +2.40302918E+01 +1.58766370E+01
+6.49793910E+00 +8.42871784E+00 +1.26359513E+02 +4.96472477E+00 +2.40566266E+01 +1.58970148E+01
+6.50030757E+00 +8.44873736E+00 +1.26683320E+02 +4.97697193E+00 +2.40829270E+01 +1.59173708E+01
+6.50267339E+00 +8.46875688E+00 +1.27007196E+02 +4.98920146E+00 +2.41091930E+01 +1.59377051E+01
+6.50503652E+00 +8.48877640E+00 +1.27331139E+02 +5.00141379E+00 +2.41354248E+01 +1.59580177E+01
+6.50739693E+00 +8.50879592E+00 +1.27655150E+02 +5.01360931E+00 +2.41616226E+01 +1.59783088E+01
+6.50975458E+00 +8.52881544E+00 +1.27979227E+02 +5.02578841E+00 +2.41877866E+01 +1.59985782E+01
+6.51210944E+00 +8.54883496E+00 +1.28303370E+02 +5.03795147E+00 +2.42139168E+01 +1.60188261E+01
+6.51446146E+00 +8.56885448E+00 +1.28627579E+02 +5.05009886E+00 +2.42400136E+01 +1.60390526E+01
+6.51681063E+00 +8.58887400E+00 +1.28951852E+02 +5.06223094E+00 +2.42660771E+01 +1.60592576E+01
+6.51915690E+00 +8.60889352E+00 +1.29276190E+02 +5.07434806E+00 +2.42921073E+01 +1.60794412E+01
+6.52150023E+00 +8.62891304E+00 +1.29600592E+02 +5.08645056E+00 +2.43181045E+01 +1.60996035E+01
+6.52384061E+00 +8.64893256E+00 +1.29925057E+02 +5.09853874E+00 +2.43440689E+01 +1.61197445E+01
+6.52617801E+00 +8.66895207E+00 +1.30249584E+02 +5.11061294E+00 +2.43700006E+01 +1.61398642E+01
+6.52851238E+00 +8.68897159E+00 +1.30574173E+02 +5.12267347E+00 +2.43958997E+01 +1.61599627E+01
+6.53084369E+00 +8.70899111E+00 +1.30898824E+02 +5.13472062E+00 +2.44217664E+01 +1.61800400E+01
+6.53317198E+00 +8.72901063E+00 +1.31223534E+02 +5.14675459E+00 +2.44476008E+01 +1.62000963E+01
+6.53549711E+00 +8.74903015E+00 +1.31548306E+02 +5.15877586E+00 +2.44734032E+01 +1.62201314E+01
+6.53781910E+00 +8.76904967E+00 +1.31873138E+02 +5.17078460E+00 +2.44991736E+01 +1.62401455E+01
+6.54013793E+00 +8.78906919E+00 +1.32198029E+02 +5.18278108E+00 +2.45249123E+01 +1.62601386E+01
+6.54245357E+00 +8.80908871E+00 +1.32522980E+02 +5.19476556E+00 +2.45506193E+01 +1.62801108E+01
+6.54476599E+00 +8.82910823E+00 +1.32847988E+02 +5.20673829E+00 +2.45762948E+01 +1.63000621E+01
+6.54707517E+00 +8.84912775E+00 +1.33173054E+02 +5.21869952E+00 +2.46019390E+01 +1.63199926E+01
+6.54938108E+00 +8.86914727E+00 +1.33498178E+02 +5.23064947E+00 +2.46275520E+01 +1.63399022E+01
+6.55168369E+00 +8.88916679E+00 +1.33823358E+02 +5.24258839E+00 +2.46531339E+01 +1.63597910E+01
+6.55398303E+00 +8.90918631E+00 +1.34148593E+02 +5.25451641E+00 +2.46786849E+01 +1.63796592E+01
+6.55627894E+00 +8.92920583E+00 +1.34473887E+02 +5.26643400E+00 +2.47042052E+01 +1.63995067E+01
+6.55857157E+00 +8.94922535E+00 +1.34799232E+02 +5.27834102E+00 +2.47296948E+01 +1.64193335E+01
+6.56086076E+00 +8.96924487E+00 +1.35124634E+02 +5.29023796E+00 +2.47551539E+01 +1.64391398E+01
+6.56314654E+00 +8.98926439E+00 +1.35450091E+02 +5.30212491E+00 +2.47805827E+01 +1.64589255E+01
+6.56542887E+00 +9.00928391E+00 +1.35775601E+02 +5.31400206E+00 +2.48059813E+01 +1.64786907E+01
+6.56770775E+00 +9.02930343E+00 +1.36101164E+02 +5.32586961E+00 +2.48313498E+01 +1.64984355E+01
+6.56998318E+00 +9.04932295E+00 +1.36426778E+02 +5.33772765E+00 +2.48566884E+01 +1.65181599E+01
+6.57225506E+00 +9.06934246E+00 +1.36752447E+02 +5.34957652E+00 +2.48819972E+01 +1.65378638E+01
+6.57452341E+00 +9.08936198E+00 +1.37078167E+02 +5.36141630E+00 +2.49072763E+01 +1.65575475E+01
+6.57678825E+00 +9.10938150E+00 +1.37403937E+02 +5.37324709E+00 +2.49325259E+01 +1.65772109E+01
